t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0		0		0
584	0.0849394	0.242914	0.524014
585	0.0850848	0.243315	0.524848
586	0.0852302	0.243716	0.525683
587	0.0853757	0.244117	0.526516
588	0.0855211	0.244518	0.52735
589	0.0856666	0.244919	0.528183
590	0.085812	0.24532	0.529016
591	0.0859575	0.245721	0.529849
592	0.0861029	0.246121	0.530682
593	0.0862484	0.246522	0.531514
594	0.0863938	0.246922	0.532346
595	0.0865392	0.247323	0.533177
596	0.0866847	0.247723	0.534009
597	0.0868301	0.248124	0.534839
598	0.0869756	0.248524	0.53567
599	0.087121	0.248924	0.536501
600	0.0872665	0.249324	0.537331
601	0.0874119	0.249724	0.53816
602	0.0875574	0.250124	0.53899
603	0.0877028	0.250524	0.539819
604	0.0878482	0.250924	0.540648
605	0.0879937	0.251324	0.541477
606	0.0881391	0.251724	0.542305
607	0.0882846	0.252123	0.543133
608	0.08843	0.252523	0.543961
609	0.0885755	0.252922	0.544788
610	0.0887209	0.253322	0.545615
611	0.0888663	0.253721	0.546442
612	0.0890118	0.25412	0.547269
613	0.0891572	0.25452	0.548095
614	0.0893027	0.254919	0.548921
615	0.0894481	0.255318	0.549746
616	0.0895936	0.255717	0.550572
617	0.089739	0.256116	0.551397
618	0.0898845	0.256514	0.552221
619	0.0900299	0.256913	0.553046
620	0.0901753	0.257312	0.55387
621	0.0903208	0.257711	0.554694
622	0.0904662	0.258109	0.555517
623	0.0906117	0.258508	0.556341
624	0.0907571	0.258906	0.557163
625	0.0909026	0.259304	0.557986
626	0.091048	0.259703	0.558808
627	0.0911935	0.260101	0.55963
628	0.0913389	0.260499	0.560452
629	0.0914843	0.260897	0.561273
630	0.0916298	0.261295	0.562095
631	0.0917752	0.261693	0.562915
632	0.0919207	0.262091	0.563736
633	0.0920661	0.262488	0.564556
634	0.0922116	0.262886	0.565376
635	0.092357	0.263284	0.566196
636	0.0925025	0.263681	0.567015
637	0.0926479	0.264078	0.567834
638	0.0927933	0.264476	0.568653
639	0.0929388	0.264873	0.569471
640	0.0930842	0.26527	0.570289
641	0.0932297	0.265668	0.571107
642	0.0933751	0.266065	0.571924
643	0.0935206	0.266462	0.572741
644	0.093666	0.266859	0.573558
645	0.0938114	0.267255	0.574375
646	0.0939569	0.267652	0.575191
647	0.0941023	0.268049	0.576007
648	0.0942478	0.268445	0.576822
649	0.0943932	0.268842	0.577638
650	0.0945387	0.269239	0.578453
651	0.0946841	0.269635	0.579267
652	0.0948296	0.270031	0.580082
653	0.094975	0.270428	0.580896
654	0.0951204	0.270824	0.58171
655	0.0952659	0.27122	0.582523
656	0.0954113	0.271616	0.583336
657	0.0955568	0.272012	0.584149
658	0.0957022	0.272408	0.584962
659	0.0958477	0.272803	0.585774
660	0.0959931	0.273199	0.586586
661	0.0961386	0.273595	0.587397
662	0.096284	0.27399	0.588209
663	0.0964294	0.274386	0.58902
664	0.0965749	0.274781	0.58983
665	0.0967203	0.275177	0.590641
666	0.0968658	0.275572	0.591451
667	0.0970112	0.275967	0.59226
668	0.0971567	0.276362	0.59307
669	0.0973021	0.276757	0.593879
670	0.0974475	0.277152	0.594688
671	0.097593	0.277547	0.595496
672	0.0977384	0.277942	0.596304
673	0.0978839	0.278337	0.597112
674	0.0980293	0.278731	0.59792
675	0.0981748	0.279126	0.598727
676	0.0983202	0.279521	0.599534
677	0.0984657	0.279915	0.600341
678	0.0986111	0.280309	0.601147
679	0.0987565	0.280704	0.601953
680	0.098902	0.281098	0.602759
681	0.0990474	0.281492	0.603564
682	0.0991929	0.281886	0.604369
683	0.0993383	0.28228	0.605174
684	0.0994838	0.282674	0.605978
685	0.0996292	0.283068	0.606782
686	0.0997747	0.283461	0.607586
687	0.0999201	0.283855	0.60839
688	0.100066	0.284249	0.609193
689	0.100211	0.284642	0.609996
690	0.100356	0.285036	0.610798
691	0.100502	0.285429	0.6116
692	0.100647	0.285822	0.612402
693	0.100793	0.286216	0.613204
694	0.100938	0.286609	0.614005
695	0.101084	0.287002	0.614806
696	0.101229	0.287395	0.615607
697	0.101375	0.287788	0.616407
698	0.10152	0.28818	0.617207
699	0.101665	0.288573	0.618007
700	0.101811	0.288966	0.618806
701	0.101956	0.289358	0.619605
702	0.102102	0.289751	0.620404
703	0.102247	0.290143	0.621203
704	0.102393	0.290536	0.622001
705	0.102538	0.290928	0.622798
706	0.102684	0.29132	0.623596
707	0.102829	0.291712	0.624393
708	0.102974	0.292104	0.62519
709	0.10312	0.292496	0.625986
710	0.103265	0.292888	0.626783
711	0.103411	0.29328	0.627579
712	0.103556	0.293672	0.628374
713	0.103702	0.294063	0.629169
714	0.103847	0.294455	0.629964
715	0.103993	0.294846	0.630759
716	0.104138	0.295238	0.631553
717	0.104283	0.295629	0.632347
718	0.104429	0.29602	0.633141
719	0.104574	0.296412	0.633934
720	0.10472	0.296803	0.634727
721	0.104865	0.297194	0.63552
722	0.105011	0.297585	0.636312
723	0.105156	0.297975	0.637104
724	0.105302	0.298366	0.637896
725	0.105447	0.298757	0.638687
726	0.105592	0.299148	0.639478
727	0.105738	0.299538	0.640269
728	0.105883	0.299929	0.64106
729	0.106029	0.300319	0.64185
730	0.106174	0.300709	0.64264
731	0.10632	0.301099	0.643429
732	0.106465	0.30149	0.644218
733	0.106611	0.30188	0.645007
734	0.106756	0.30227	0.645796
735	0.106901	0.30266	0.646584
736	0.107047	0.303049	0.647372
737	0.107192	0.303439	0.648159
738	0.107338	0.303829	0.648946
739	0.107483	0.304218	0.649733
740	0.107629	0.304608	0.65052
741	0.107774	0.304997	0.651306
742	0.10792	0.305387	0.652092
743	0.108065	0.305776	0.652878
744	0.10821	0.306165	0.653663
745	0.108356	0.306554	0.654448
746	0.108501	0.306943	0.655232
747	0.108647	0.307332	0.656017
748	0.108792	0.307721	0.656801
749	0.108938	0.30811	0.657584
750	0.109083	0.308499	0.658368
751	0.109229	0.308887	0.659151
752	0.109374	0.309276	0.659933
753	0.109519	0.309664	0.660716
754	0.109665	0.310053	0.661498
755	0.10981	0.310441	0.66228
